"Name","Path","CPU","ProcessName","StartTime","Threads"
"System",,"90.3125","System","7/5/2022 12:52:13 PM","System.Diagnostics.ProcessThreadCollection"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","65.46875","powershell_ise","7/5/2022 12:53:53 PM","System.Diagnostics.ProcessThreadCollection"
"MsMpEng",,"37.53125","MsMpEng","7/5/2022 12:52:21 PM","System.Diagnostics.ProcessThreadCollection"
"explorer","C:\Windows\Explorer.EXE","26.796875","explorer","7/5/2022 12:53:03 PM","System.Diagnostics.ProcessThreadCollection"
"WmiPrvSE","C:\Windows\system32\wbem\wmiprvse.exe","19.21875","WmiPrvSE","7/5/2022 12:52:42 PM","System.Diagnostics.ProcessThreadCollection"
"dwm","C:\Windows\system32\dwm.exe","17.640625","dwm","7/5/2022 12:52:19 PM","System.Diagnostics.ProcessThreadCollection"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","16.21875","chrome","7/5/2022 12:55:17 PM","System.Diagnostics.ProcessThreadCollection"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","15.578125","chrome","7/5/2022 12:55:12 PM","System.Diagnostics.ProcessThreadCollection"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","15.140625","chrome","7/5/2022 12:55:14 PM","System.Diagnostics.ProcessThreadCollection"
"CtxGfx","C:\Program Files\Citrix\ICAService\CtxGfx.exe","11.953125","CtxGfx","7/5/2022 12:52:25 PM","System.Diagnostics.ProcessThreadCollection"
